Meter,WELL Name,Gas Rate Sm3/d,Oil Flow Sm3/d,Water Flow Rate m3/d,GOR,GWR,WLR,Sep. Gas Temp deg C,Sep. Static Pressure psig,DP[Bar],Temperature[C],Velocity[m/s],Quality,GVF[%],GasDen[kg/m3],GasVisc[cP],LiqDen[kg/m3],LiqVisc[cP]
C1-038,LCA-3011,149237.36966939588,16.070230866216242,9.183102571544401,9289.882193982372,16254.46092486086,0.36366406805914614,57.74324602499999,1312.6383283423224,0.030987620000000004,57.74324602499999,7.210119165249999,0.7589913640833333,98.01214815306469,80.02882998356682,1.4588377866666666e-05,702.4485630515652,0.00046708772730150844
C1-052,LCA-3011,150108.4661452607,14.617345977136798,8.35230123902808,10273.39516558085,17976.174736887555,0.3636505430739385,57.74324602499999,1312.6383283423224,0.030987620000000004,57.74324602499999,7.210119165249999,0.7589913640833333,98.20174808457425,80.02882998356682,1.4588377866666666e-05,702.4485630515652,0.00046708772730150844
C1-08125,LCA-3011,156654.19388880001,4.17532176,2.3812416,37647.954634240166,65964.21106131129,0.36327378407050553,57.74324602499999,1312.6383283423224,0.030987620000000004,57.74324602499999,7.210119165249999,0.7589913640833333,99.50727463333334,80.028829985,1.4588366666666669e-05,702.4485630416667,0.00046708774999999997
PVT10,LCA-3011,147084.2663308517,19.7286126437412,11.275068547080721,7457.386267842081,13046.981027204534,0.3636892659328886,57.74324602499999,1312.6383283423224,0.030987620000000004,57.74324602499999,7.210119165249999,0.7589913640833333,97.52615451307503,80.02882998356682,1.4588377866666666e-05,702.4485630515652,0.00046708772730150844
PVT11,LCA-3011,147385.64683128838,15.24222561925224,8.684863793489521,9673.31222761902,16974.309078353395,0.36299645341707537,57.74324602499999,1312.6383283423224,0.030987620000000004,57.74324602499999,7.210119165249999,0.7589913640833333,98.12918524189723,79.72435073450457,1.4519672194691667e-05,705.1331907805373,0.00046708772730150844
PVT4,LCA-3011,81513.42192688491,159.65638244487178,131.03611028414758,510.62440597224537,622.0968333161092,0.4507854711325715,57.8190788890909,1313.001738298758,0.030990694454545456,57.8190788890909,7.211227056909092,0.7590923672727272,42.47019630577195,90.38749354150285,1.4470186675390907e-05,660.5934045373286,0.0010319435422791092
PVT5,LCA-3011,82854.65407461961,157.4053879274058,131.24213596440978,526.4524654510153,631.3365497783324,0.45469439757436864,57.924064292999994,1313.0484112950971,0.03102052210000001,57.924064292999994,7.216999487999999,0.7583329006999999,42.45481540203214,90.3421030907528,1.447608758805e-05,659.8513664771431,0.00103100847795591
PVT6,LCA-3011,82854.65407461961,157.4053879274058,131.24213596440978,526.4524654510153,631.3365497783324,0.45469439757436864,57.924064292999994,1313.0484112950971,0.03102052210000001,57.924064292999994,7.216999487999999,0.7583329006999999,42.45481540203214,90.3421030907528,1.447608758805e-05,659.8513664771431,0.00103100847795591
PVT7,LCA-3011,82854.65407461961,157.4053879274058,131.24213596440978,526.4524654510153,631.3365497783324,0.45469439757436864,57.924064292999994,1313.0484112950971,0.03102052210000001,57.924064292999994,7.216999487999999,0.7583329006999999,42.45481540203214,90.3421030907528,1.447608758805e-05,659.8513664771431,0.00103100847795591
PVT8,LCA-3011,155252.4429914915,8.236003035761279,5.531513559546241,18907.46333092919,28159.067695246427,0.4017561948060701,57.74324602499999,1312.6383283423224,0.030987620000000004,57.74324602499999,7.210119165249999,0.7589913640833333,98.76171322178453,86.10898723452983,1.4324123664425002e-05,700.8611674370891,0.0010326139996417003
RAW_FSF,LCA-3011,132976.85439999998,29.576,11.675600000000001,4498.38277950558,11396.939562172836,0.2832223138421727,57.70799999999999,1306.418,,,,,,,,,
SEP,LCA-3011,203325.2424489796,23.230408163265306,13.624489795918361,8812.28331665898,14925.197188527225,0.37006722792668256,46.91224489795916,1288.6775510204081,,,,,,,,,
C1-038,LCA-3012,156245.29588818166,16.109089956228242,9.957833669494802,9703.440187386559,15702.276880343254,0.3819778344847333,60.2239146,1313.3966434502772,0.0344274335,60.2239146,7.639340979666666,0.7746260612500001,98.07665531030216,79.07664894860376,1.4621175797966668e-05,708.5696952200313,0.00044745098858887505
C1-052,LCA-3012,157152.83424311556,14.67497953541232,9.070873573377598,10714.525193791555,17339.754184695677,0.38196285568641436,60.2239146,1313.3966434502772,0.0344274335,60.2239146,7.639340979666666,0.7746260612500001,98.25738465007038,79.07664894860376,1.4621175797966668e-05,708.5696952200313,0.00044745098858887505
C1-08125,LCA-3012,163971.46566,4.36947912,2.6971797599999996,37760.17155096466,61235.62697705883,0.38156221456277256,60.2239146,1313.3966434502772,0.0344274335,60.2239146,7.639340979666666,0.7746260612500001,99.50208451499998,79.0766489475,1.4621175e-05,708.5696952416666,0.000447451
PVT10,LCA-3012,154001.84474146823,19.72083825532368,12.191604751533601,7811.388257670375,12638.724669840352,0.38200586365944966,60.2239146,1313.3966434502772,0.0344274335,60.2239146,7.639340979666666,0.7746260612500001,97.61338819523816,79.07664894860376,1.4621175797966668e-05,708.5696952200313,0.00044745098858887505
PVT11,LCA-3012,154398.55033801348,15.208119552636001,9.37408809452184,10157.207689117773,16483.777530308664,0.3813024510095646,60.2239146,1313.3966434502772,0.0344274335,60.2239146,7.639340979666666,0.7746260612500001,98.19835219295904,78.81766512605857,1.4554837094075e-05,711.1805512613049,0.00044745098858887505
PVT4,LCA-3012,83496.64515165596,167.37981514857861,145.4349539182558,498.86356775789653,574.1498057208986,0.4649228194031821,60.2239146,1313.3966434502772,0.0344274335,60.2239146,7.639340979666666,0.7746260612500001,42.79048561802319,89.74875294063109,1.4489415246908335e-05,667.5343052523073,0.0010106876802201416
PVT5,LCA-3012,84842.33910097813,165.05353333679255,145.50906560220218,514.0498227027908,583.1061249373197,0.46853333331596175,60.2239146,1313.3966434502772,0.0344274335,60.2239146,7.639340979666666,0.7746260612500001,42.77401339868424,89.70979180206236,1.4493626847191665e-05,666.9671970622443,0.0010106876802201416
PVT6,LCA-3012,84842.33910097813,165.05353333679255,145.50906560220218,514.0498227027908,583.1061249373197,0.46853333331596175,60.2239146,1313.3966434502772,0.0344274335,60.2239146,7.639340979666666,0.7746260612500001,42.77401339868424,89.70979180206236,1.4493626847191665e-05,666.9671970622443,0.0010106876802201416
PVT7,LCA-3012,84842.33910097813,165.05353333679255,145.50906560220218,514.0498227027908,583.1061249373197,0.46853333331596175,60.2239146,1313.3966434502772,0.0344274335,60.2239146,7.639340979666666,0.7746260612500001,42.77401339868424,89.70979180206236,1.4493626847191665e-05,666.9671970622443,0.0010106876802201416
PVT8,LCA-3012,163019.86206468547,7.327840060080001,5.229770312301119,22299.32025726869,31270.52261920611,0.4163675586492328,60.2239146,1313.3966434502772,0.0344274335,60.2239146,7.639340979666666,0.7746260612500001,98.95669952376225,85.62955472392422,1.4352832306725e-05,706.7987137118607,0.0010106876802201416
RAW_FSF,LCA-3012,140174.2286956522,29.713478260869564,12.713043478260868,4718.798439902132,11035.082196929316,0.29962614480076033,59.58130434782609,1314.3495652173913,,,,,,,,,
SEP,LCA-3012,218465.58520833333,25.389999999999997,16.294375,8742.826996132551,13428.42131514022,0.3920323056466725,45.52125000000001,1288.8810416666668,,,,,,,,,
C1-038,LCA-3013,185966.28522100786,16.25992970043168,9.55885312127736,11439.244019932921,19470.84767004274,0.3701881811449575,58.78108989416666,1316.744449400202,0.04762768241666668,58.78108989416666,8.976522171416667,0.79703916225,98.37374746238015,79.88558880336075,1.4614819649924999e-05,704.2869664676906,0.0004586960460343833
C1-052,LCA-3013,187017.45974546645,14.691508218531363,8.63627937991488,12732.543001335313,21674.310673269956,0.37016946655231386,58.78108989416666,1316.744449400202,0.04762768241666668,58.78108989416666,8.976522171416667,0.79703916225,98.53846544565295,79.88558880336075,1.4614819649924999e-05,704.2869664676906,0.0004586960460343833
C1-08125,LCA-3013,194918.23620000004,3.40968816,2.00011248,57433.146744318605,98101.99528275408,0.36952191910275567,58.78108989416666,1316.744449400202,0.04762768241666668,58.78108989416666,8.976522171416667,0.79703916225,99.67462310833332,79.88558880249998,1.4614825000000001e-05,704.2869664666665,0.0004586960833333333
PVT10,LCA-3013,183367.95264242557,20.20928602841424,11.88193533351336,9074.60331051023,15443.206676462847,0.3702223951412333,58.78108989416666,1316.744449400202,0.04762768241666668,58.78108989416666,8.976522171416667,0.79703916225,97.95169324372677,79.88558880336075,1.4614819649924999e-05,704.2869664676906,0.0004586960460343833
PVT11,LCA-3013,183670.1394883624,15.341264356047121,8.99314042466376,11974.49563593179,20441.868558875565,0.369514402172304,58.78108989416666,1316.744449400202,0.04762768241666668,58.78108989416666,8.976522171416667,0.79703916225,98.47741151897895,79.59462560207552,1.45467828642e-05,706.9464300880835,0.0004586960460343833
